scheme_name,detected_themes
"""Interest Subsidy (For Micro, Small, Medium and Large New Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - Various Incentives""",['Business & Entrepreneurship']
"""Interest Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",['Business & Entrepreneurship']
"""Outstanding Artisan of the Year"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",['Business & Entrepreneurship']
"""Outstanding Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",['Business & Entrepreneurship']
"""Outstanding Exporter"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",['Business & Entrepreneurship']
"""Outstanding SC/ST Entrepreneur"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",['Business & Entrepreneurship']
"""Rent Subsidy"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",['Business & Entrepreneurship']
"""SUPER 30"" Scheme",['Education & Learning']
"""Subsidy to Pollution Control Equipment"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",['Business & Entrepreneurship']
"""Training in Handicrafts"" Component of the ""Development Of Handicrafts"" Scheme",['Education & Learning']
"""Training in Silk"" Component of the ""Development of Silk"" Scheme",['Skills & Employment']
"""Vocational Training"" Component of the ""Development of Industries"" Scheme",['Skills & Employment']
15 Days Skill Up-gradation Training,['Skills & Employment']
25% Capital Investment Subsidy Scheme,['Business & Entrepreneurship']
60% and above Disability Allowances,['Education & Learning']
AGR-61 Agro Service Providers for the Purpose of Making Farming More Profitable With the Help of Farm Mechanization,['Education & Learning']
AICTE - Distinguished Chair Professor Fellowship,['Education & Learning']
AICTE - Grant For Augmenting Infrastructure In North Eastern Region,['Education & Learning']
AICTE - Research Promotion Scheme (RPS),['Education & Learning']
"AICTE - Scheme For Promoting Interests, Creativity And Ethics Among Students",['Education & Learning']
"AICTE - YOUTH UNDERTAKING VISIT FOR ACQUIRING KNOWLEDGE (YUVAK): STUDY TOUR OF ATAL TUNNEL, HIMACHAL PRADESH",['Education & Learning']
AICTE e-Shodh Sindhu Scheme (eSS),['Education & Learning']
AICTE – Mitacs Globalink Research Internship (GRI) Scheme,['Education & Learning']
AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Degree),['Education & Learning']
AICTE – Saksham Scholarship Scheme For Specially-Abled Student (Diploma),['Education & Learning']
AICTE- TECHNICAL UNIVERSITY JOINT TRAINING PROGRAMS FOR TEACHERS,['Education & Learning']
AICTE- Technical University Joint Training Programs for Librarians,['Education & Learning']
"AICTE-IDEA (Idea Development, Evaluation & Application) LAB SCHEME",['Education & Learning']
AICTE-INAE Distinguished Visiting Professorship Scheme,['Education & Learning']
AICTE-INAE Travel Grant Scheme For Engineering Students From AICTE Approved Engineering College/Institution,['Education & Learning']
AICTE-ISTE INDUCTION/REFRESHER PROGRAMME SCHEME,['Education & Learning']
AICTE-LILAVATI AWARD,['Education & Learning']
AICTE-Margdarshan scheme,['Education & Learning']
AICTE-National Initiative for Training of Technical Teachers (for Inductee Teachers) Scheme,['Education & Learning']
AICTE-PROFESSIONAL DEVELOPMENT SCHEME,['Education & Learning']
AICTE-QUALITY IMPROVEMENT (FOREIGN UNIVERSITY) PROGRAMME,['Education & Learning']
"AICTE-SHORT TERM TRAINING PROGRAMME (STTP) (UT-J&K,LADAKH AND NER)",['Education & Learning']
AICTE-Swanath Scholarship Scheme For Students,['Education & Learning']
AICTE-Technical Book Writing & Translation Scheme,['Education & Learning']
AICTE-Training programs for Physical Education Trainers/Sport-Games Teachers/Director of Sports,['Education & Learning']
ASEAN-India Research Training Fellowship,['Education & Learning']
Aam Aadmi Bima Yojana,['Education & Learning']
Aam Aadmi Bima Yojana (Maharashtra),['Education & Learning']
Aamar Dukan On Wheels,['Skills & Employment']
Aapki Beti Hamari Beti,['Education & Learning']
Aapki Beti Yojana,['Education & Learning']
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Net SGST reimbursement,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Reimbursement of SGST Paid on Capital Goods,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for Assistance to Mega Industries: Reimbursement of Stamp Duty and Registration Fees,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Assistance of Interest Subsidy,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: EPF Reimbursement,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to Large Industries and Thrust Sector: Net SGST Reimbursement,['Business & Entrepreneurship']
"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Interest Subsidy to Micro, Small and Medium Enterprise (Manufacturing Sector)",['Business & Entrepreneurship']
"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Interest Subsidy to Micro, Small and Medium Enterprise (Service Sector)",['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Patent Registration,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Power Connection Charges,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Quality Certification,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Raising Capital through SME Exchange,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Reimbursement of CGTMSE Fees,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Saving in Consumption of Energy and Water,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance for Technology Acquisition,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance in Implementation of Information and Communication Technology,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance in Rent to MSEs,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Assistance of Capital Investment Subsidy to Micro enterprises,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: EPF Reimbursement to MSMEs,['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Financial Support to MSMEs in ZED Certification,['Business & Entrepreneurship']
"Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Net SGST reimbursement to Micro, Small and Medium Manufacturing Enterprise (MSMEs):",['Business & Entrepreneurship']
Aatmanirbhar Gujarat Scheme for assistance to MSMEs: Rehabilitation of Sick Enterprise,['Business & Entrepreneurship']
Aawaas Sahayata,['Education & Learning']
Aaws Bhatta Sahayata Yojana,['Education & Learning']
Abdul Kalam Technology Innovation National Fellowship,['Education & Learning']
Abhinandan Education Loan Subsidy Scheme,['Education & Learning']
Academic Education (JKBOCWWB),['Education & Learning']
Access To Knowledge For Technology Development And Dissemination (A2K+) - Studies,['Education & Learning']
Additional Financial Assistance for the Children of Persons Engaged in the Cleaning Profession,['Education & Learning']
Adi Dravidar and Tribal Welfare Department-Hostels: Special Guides,['Education & Learning']
Adi Dravidar and Tribal Welfare Department-Incentive/Award of Prizes,['Education & Learning']
Adi Dravidar and Tribal Welfare Department: Incentive/Award of Prizes-For Each Subjects,['Education & Learning']
Adi Dravidar and Tribal Welfare Department: Scholarship-Free Education upto 12th Std. to All,['Education & Learning']
Adi Dravidar and Tribal Welfare Department: Scholarship-Public Examination Fee for 10th and 12th Std.,['Education & Learning']
Adi Dravidar and Tribal Welfare Department: Stationary-Text Books,['Education & Learning']
Admission in Post Matric Hostel,['Education & Learning']
Admission of Adi Dravidar/Tribal Students in Plus One at Reputed Schools,['Education & Learning']
Advance Authorisation(AA),['Education & Learning']
Agnipath Yojana,['Education & Learning']
Agri-Clinics And Agri-Business Centres Scheme,['Education & Learning']
Agricultural Extension,['Education & Learning']
Agricultural Skill Development Training Programme For Women Farmers And Farmers,['Skills & Employment']
Agriculture Academic Studies Scheme,['Education & Learning']
Agriculture And Processed Foods Export Promotion Scheme Of APEDA For The 15th Finance Commission Cycle (2021-22 To 2025-26),['Business & Entrepreneurship']
Airavata Scheme,['Skills & Employment']
Akanksha Scheme,['Education & Learning']
AlCTE - Distinguished Professional Scheme,['Education & Learning']
Allowance for 100% Blind,['Education & Learning']
Alpasankhyak Post-Maitrik Chhaatravrtti Yojana,['Education & Learning']
Alpsankhyak Merit-Cum-Means Chatravriti Yojana,['Education & Learning']
Ambedkar DBT Voucher Scheme,['Education & Learning']
Ambedkar Fellowship Scheme,['Education & Learning']
Amended Technology Upgradation Fund,['Business & Entrepreneurship']
Annai Teresa Ninaivu Marriage Assistance Scheme for Orphan Girls-II,['Education & Learning']
Annal Ambedkar Business Champions Scheme,['Business & Entrepreneurship']
Annal Gandhi Memorial Award,['Education & Learning']
Arivu Education Loan Scheme,['Education & Learning']
Artificial Limbs/Assistive Equipments Scheme,['Education & Learning']
Artisan Promotion,['Business & Entrepreneurship']
Arunachal Pradesh Entrepreneurship Challenge,['Business & Entrepreneurship']
Arundhati Gold Scheme,['Education & Learning']
Asangathit Karmakar Ke Bachcho Hetu Chhatravriti Yojana,['Education & Learning']
Asangathita Shramik Sahayika Prakalpa,['Skills & Employment']
Ashadeepa Scheme,['Skills & Employment']
Ashram Schools (Scheduled Tribes),['Education & Learning']
Assam Abhinandan Education Loan Subsidy Scheme,['Education & Learning']
Assistance Scheme for Handicraft Artisans,['Business & Entrepreneurship']
Assistance Towards Expenses Incurred for Raising of Funds through NSE’s/ BSE’s SME Exchange Platform,['Business & Entrepreneurship']
Assistance for Digitization of Business Processes and Adoption of eCommerce,['Education & Learning']
Assistance for Quality Enhancement,['Business & Entrepreneurship']
Assistance to Persons with Disabilities for Purchase/Fitting of Artificial Limbs/Appliances,['Skills & Employment']
Assistance to Training Institutions Scheme,['Education & Learning']
Assistance to Voluntary Organizations Working for Welfare of OBCs,['Skills & Employment']
Aswachh Dhandha Chhaatravrtti,['Education & Learning']
Atal Awasiya Vidyala Yojana,['Education & Learning']
Atal Mission For Rejuvenation And Urban Transformation,['Education & Learning']
Atal Sneh Yojana,['Education & Learning']
Attendance Scholarship Scheme for Girl Students with Disabilities of Rural Areas,['Education & Learning']
Award For Meritorious Students Of Meghalaya In The HSSLC Examination (Science Stream),['Education & Learning']
Award Of Scholarships To Young Artists In Different Cultural Fields,['Education & Learning']
Award Of Stipend To VJNT And SBC Students Studying In ITI,['Education & Learning']
"Award for Success in State Public Service Commission, Union Public Service Commission Examination (MPBOCWWB)",['Education & Learning']
Award of Adhoc Merit Grant (Special Incentive) to Scheduled Caste Students,['Education & Learning']
Award of Attendance Scholarship to Girl Students in the Middle Stage of Education,['Education & Learning']
Award of Opportunity Cost to Parents of Scheduled Caste Girl Students,['Education & Learning']
Award of Post-Matric Scholarship to Scheduled Caste Students,['Education & Learning']
Award of Pre-Matric Scholarship to Other Economically Backward Class (OEBC) Students,['Education & Learning']
Award of Pre-matric Scholarship to Scheduled Caste Students Studying from VI to X Standard in Government Schools and Government recognised Private Schools in the Union Territory of Puducherry,['Education & Learning']
Award of Pre-matric Scholarship to the Students Whose Parents Are Engaged in Unclean Occupation,['Education & Learning']
Award of Puducherry State Post-Matric Scholarship Scheme,['Education & Learning']
Award of Scholarship to Differently Abled Person Students,['Education & Learning']
"Award of Scholarship to the Cadets Belonging to UT of Puducherry and Studying in Rashtriya Indian Military College, Dehradun",['Education & Learning']
Award of Scholarship to the Children who are Recipients of National Child Award for Exceptional Achievements and Other National / International Merit Awards,['Education & Learning']
Award of Scholarships to Outstanding NCC Cadets of the UT of Puducherry,['Education & Learning']
Award to Scheduled Castes Students Who Secured Top Ranks at State and District Level in Standard X & XII (Sahuji Maharaj Assistance),['Education & Learning']
Awards to Bright Students,['Education & Learning']
Awasiya Vidyala Yojana,['Education & Learning']
BC & EBC Girls Residential +2 High School,['Education & Learning']
BPL (Below Poverty Line) Student Welfare Scholarship - Technical Education,['Education & Learning']
BPL Scholarship for College Students,['Education & Learning']
BSR Scheme,['Education & Learning']
Back Ended Interest Subsidy (BEIS),['Business & Entrepreneurship']
Back-To-Lab Post-Doctoral Fellowship Programme,['Education & Learning']
Back-to-Lab Research Fellowship Programme,['Education & Learning']
Backward Class Students Meritorious Award Scheme,['Education & Learning']
Backward Classes Foreign Study Scholarship Scheme,['Education & Learning']
Bakri Palan Yojana,['Skills & Employment']
Bal Ashrams,['Education & Learning']
"Banglashree for Micro, Small and Medium Enterprises: Interest Subsidy on Term Loan (IS)",['Business & Entrepreneurship']
"Banglashree for Micro, Small and Medium Enterprises: Power Subsidy (PS)",['Business & Entrepreneurship']
"Banglashree for Micro, Small and Medium Enterprises: State Capital Investment Subsidy (CIS)",['Business & Entrepreneurship']
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Energy Efficiency (EES)",['Business & Entrepreneurship']
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Patent Registration (PRS)",['Business & Entrepreneurship']
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Standard Quality Compliance (SCCS)",['Business & Entrepreneurship']
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for State Goods and Services Tax (SGST)",['Business & Entrepreneurship']
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Water Conservation/Environment Compliance (WCS)",['Business & Entrepreneurship']
"Banglashree for Micro, Small and Medium Enterprises: Subsidy for Work Force Welfare Assistance (WWAS)",['Business & Entrepreneurship']
"Banglashree for Micro, Small and Medium Enterprises: Subsidy on Stamp Duty and Registration Fee (SDRFS)",['Business & Entrepreneurship']
Banishree Scholarship,['Education & Learning']
Bank Guarantee Charges Reimbursement Scheme,['Business & Entrepreneurship']
Bank Loan Processing Fee Reimbursement Scheme,['Education & Learning']
Barbershop Renovation Grant,['Skills & Employment']
Basic Agriculture Training Centre Scheme,['Skills & Employment']
Bebe Nanki Laadli Beti Kalyan Scheme,['Education & Learning']
Behind the Ear Hearing Aids by Welfare of Differently Abled Persons,['Education & Learning']
Berojgari Bhatta Yojna,['Skills & Employment']
Beti Hai Anmol Yojana,['Education & Learning']
Bhagwan Budhdh Scholarship,['Education & Learning']
Bhagyalaxmi Scheme,['Education & Learning']
Bharati Scheme for Education - 1st Class to 5th Class,['Education & Learning']
Bharati Scheme for Education - 6th Class to 10th Class,['Education & Learning']
Bharati Scheme for Education - Graduation,['Education & Learning']
Bharati Scheme for Education - Intermediate or Equivalent,['Education & Learning']
Bharati Scheme for Education - Post-Graduation,['Education & Learning']
Bharati Scheme for Education - Professional Education Course,['Education & Learning']
Bharati Scheme for Education Professional Education Course - Chartered Accountancy Final,['Education & Learning']
Bharati Scheme for Education Professional Education Course - Chartered Accountancy Intern,['Education & Learning']
Bharati Scheme for Master’s Degree Overseas,['Education & Learning']
Bhargava Matching Scheme,['Education & Learning']
Bhed Palan Yojana,['Skills & Employment']
Bhima Bhoi Bhinnakshyama Samarthya Abhiyan,['Education & Learning']
Bhraman - Darshan Yojana,['Education & Learning']
Bicycle Distribution Scheme for Girl Students of Economically Weaker Section,['Education & Learning']
Bidya Lakshmi Loan,['Education & Learning']
Bihar State Alpsankhyak Awasiya Vidyalaya Yojana,['Education & Learning']
Bihar State Journalist Insurance Scheme,['Education & Learning']
Bihar State Madarsa Strengthening Scheme,['Education & Learning']
Bihar Student Credit Card Scheme,['Education & Learning']
Biju Patnaik Sports Award for Best Contribution to promotion of Sports and Games,['Sports']
Biju Patnaik Sports Award for Excellence in Coaching,['Sports']
Biju Patnaik Sports Award for Excellence in Sports Journalism,['Sports']
Biju Patnaik Sports Award for Lifetime Achievement in Promotion of Sports & Games,['Sports']
Biju Patnaik Sports Award for Outstanding Performance in Sports and Games for the Year,['Sports']
Biju Pucca Ghar Yojana,['Education & Learning']
Biju Swasthya Kalyan Yojana,['Education & Learning']
Biju Yuva Sashaktikaran Yojana,['Education & Learning']
Bina Mulya Samajik Suraksha Yojana,['Education & Learning']
Biotechnology Career Advancement And Re-orientation (BioCARe) Programme For Women Scientists,['Education & Learning']
Biotechnology Ignition Grant Scheme,['Education & Learning']
Biotechnology Post-Doctoral Fellowship,['Education & Learning']
Biotechnology Young Entrepreneur Award,['Education & Learning']
Biponi Scheme,['Education & Learning']
Block Level Institute for Rural Skill Acquisition (BIRSA),['Skills & Employment']
Boarding House Stipend Scheme (Tripura Govt.),['Education & Learning']
Boneej Scheme,['Education & Learning']
Book Allowance to the Wards of Ex-Servicemen/Widows (Sainik Welfare),['Education & Learning']
Book Bank Scheme: I,['Education & Learning']
Book Bank Scheme: II,['Education & Learning']
Book Binder Training by Department for the Welfare of Differently Abled Persons,['Education & Learning']
Border Areas Development Department,['Education & Learning']
Border Areas Scholarship,['Education & Learning']
Building And Other Construction Scholarship,['Education & Learning']
Bunkar Parivar Ke Pratibhavan Chatra-Chatraon Ko Protsahan Puraskar Yojana,['Education & Learning']
CBSE Merit Scholarship Scheme For Single Girl Child,['Education & Learning']
CHIEF MINISTER  EMPLOYMENT GENERATION  PROGRAMME (CMEGP),['Skills & Employment']
CIFE - Institutional Fellowship,['Education & Learning']
CM Anuprati Coaching Scheme,['Education & Learning']
CM’s Lairik Heiminnashi Programme (CMLH): Pre-Matric Remedial Coaching,['Education & Learning']
Campus Recruitment Assistance Scheme,['Education & Learning']
Cancer Suraksha Scheme,['Education & Learning']
Capacity Building For Service Providers - Entrepreneurship Programme,['Skills & Employment']
Capacity Building For Service Providers - Skill Testing & Certification,['Education & Learning']
Capital Contribution Scheme (Goa),['Business & Entrepreneurship']
Capital Investment Subsidy Scheme,['Business & Entrepreneurship']
Capital Investment Subsidy Scheme for Goan Diaspora,['Business & Entrepreneurship']
"Capital Investment Subsidy: Thrust Area Industries"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",['Business & Entrepreneurship']
Capital Subsidy,['Business & Entrepreneurship']
Cash Award (A.B.O.C.W.W.B),['Education & Learning']
Cash Award (MBOCWWB),['Education & Learning']
Cash Award to Top Ranking Holders in Public Examinations,['Education & Learning']
Cash Award to the Meritorious Visually Impaired Students Obtaining First Three Ranks at the State Level in the SSLC and HSC Examination,['Education & Learning']
Cash Benefit Scheme Scheme (PBAOCWWB),['Education & Learning']
Cash Incentive to Wards of ESM (Academic Scholarship),['Education & Learning']
Cash Prizes Scheme (BBOCWWB),['Education & Learning']
Central Sector Scheme for Rehabilitation of Bonded Labourer,['Skills & Employment']
Central Sector Scheme of National Fellowship for Providing Fellowship to Scheduled Caste Students to Pursue M.Phil. & PhD,['Education & Learning']
Central Vigilance Commission (CVC) Internship Scheme,['Education & Learning']
Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying in India,['Education & Learning']
"Centrally Sponsored Scheme of Post-Matric Scholarship for OBC, EBC  and DNT Students for studying in India",['Education & Learning']
Centrally Sponsored Scheme of Pre-matric Scholarship to Other Backward Classes (OBC) for Studies in India,['Education & Learning']
Centrally-Sponsored Scheme Of Pre-Matric Scholarship For Scheduled Caste Students Studying In Classes 9th & 10th,['Education & Learning']
Chanakya Scheme for Swayam Upadhi,['Business & Entrepreneurship']
Chanakya Swayam Upadhi Scheme for Micro Entrepreneurship - Transport Operator,['Skills & Employment']
Chetan Chauhan Labor Sports Promotion Scheme,['Sports']
Chhatraon Ke Liye Protsahan Rashi,['Education & Learning']
Chhatrawas (Scheduled Caste),['Education & Learning']
Chief Minister Agriculture and Food Processing Scheme,['Business & Entrepreneurship']
Chief Minister BC & EBC Chhatravas Anudan Yojana,['Education & Learning']
Chief Minister Breakfast Scheme,['Education & Learning']
Chief Minister Career Advancement in Biotechnology,['Education & Learning']
Chief Minister Divyangjan Empowerment Scheme (Sambal),['Education & Learning']
Chief Minister EBC Civil Seva Protsahan Yojana,['Education & Learning']
Chief Minister Floriculture Mission,['Skills & Employment']
Chief Minister Higher Education Encouragement Scholarship Scheme,['Education & Learning']
Chief Minister Higher Education Scholarship Scheme,['Education & Learning']
Chief Minister Kanya Utthan Yojana,['Education & Learning']
Chief Minister Ladli Behna Yojana,['Skills & Employment']
Chief Minister Merit Award,['Education & Learning']
Chief Minister Nari Shakti Yojana,['Skills & Employment']
Chief Minister Rural Path Vendor Loan Scheme,['Skills & Employment']
Chief Minister's Adarsh Gram Yoiana 2017,['Education & Learning']
Chief Minister's COVID-19 Affected Livelihood Support Scheme,['Education & Learning']
Chief Minister's Jeevan Jyoti Swaniyojan Yojana,['Skills & Employment']
Chief Minister's Micro Finance Initiative,['Business & Entrepreneurship']
Chief Minister's Overseas Scholarship Scheme for Minorities,['Education & Learning']
Chief Minister's Self Employment Scheme,['Skills & Employment']
Chief Ministergi Artistesinggi Tengbang (CMAT): Support For Purchase Of Instruments / Equipment,['Education & Learning']
Chief Ministergi Shotharabasingi Tengbang (CMST): Scholarship Of Students With Disabilities,['Education & Learning']
Chief Ministers House Rent,['Education & Learning']
Chief Ministers Special Rural Development Fund (CMSRDF),['Education & Learning']
Chief Minister’s College Students Rehabilitation Scheme (CMCSRS),['Education & Learning']
Chief Minister’s Girl Child Protection Scheme-I,['Education & Learning']
Chief Minister’s Girl Child Protection Scheme-II,['Education & Learning']
Chief Minister’s Paryatan Siksha Yojana,['Education & Learning']
Chief Minister’s Scheme For Wood Carving Artists,['Skills & Employment']
Chief Minister’s Shasakt Kisan Yojana,['Skills & Employment']
Chief Minister’s Startup/innovation Projects/new Industries,['Skills & Employment']
Chief Minister’s UPSC Combined Civil Services Coaching Scheme,['Education & Learning']
Chief Minister’s Yuva Kaushal Yojana,['Skills & Employment']
Chikitsa Pratipoorti Yojana,['Education & Learning']
Child Benefit Scheme (UKBOCWWB),['Education & Learning']
Children Education Allowance,['Education & Learning']
Children Education Assistance Fund,['Education & Learning']
Children With Special Needs Under Goa Sarva Shiksha Abhivan,['Education & Learning']
"Civil Service Incentive (De-Notified, Nomadic and Semi-nomadic communities )",['Education & Learning']
Civil Service Incentive Scheme (Madhya Pradesh),['Education & Learning']
"Coaching Assistance Scheme For Scheduled Caste Students For Pre-Exam Preparation Like NEET, JEE, GUJCET",['Education & Learning']
Coaching Assistance Scheme for Preparation of Recruitment Exams for Scheduled Caste Students,['Education & Learning']
"Coaching Assistance to Scheduled Castes Students for Preparation of Examination Like IIM, NIFT, NLU, CEPT",['Education & Learning']
Coaching Help Scheme,['Education & Learning']
Coaching Help Scheme for JEE-GUJCET-NEET Exams,['Education & Learning']
Coaching Schemes For Sc/st/obc (non-creamy Layer) & Minority Students For Universities,['Education & Learning']
Coaching by Private Institutes for All India Services Civil Services Examination,['Education & Learning']
Coir Udyami Yojana,['Business & Entrepreneurship']
Coir Vikas Yojana- Coir Industry Technology Upgradation Scheme,['Business & Entrepreneurship']
Coir Vikas Yojana- Export Market Promotion Scheme,['Business & Entrepreneurship']
Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,['Business & Entrepreneurship']
Collaborative Research Scheme (CRS),['Education & Learning']
Community Based Training Scheme,['Skills & Employment']
Community Canning & Training On Fruit Preservation,['Skills & Employment']
Competitive Exam Coaching,['Education & Learning']
Composite Loan Scheme,['Skills & Employment']
Comprehensive Educational Loan Scheme - Sikkim,['Education & Learning']
Comprehensive Handicrafts Cluster Development Programme,['Business & Entrepreneurship']
Computer Training Scheme,['Education & Learning']
Consolidated Stipend Scheme for Scheduled Caste Students Pursuing Higher Education,['Education & Learning']
Construction of Hostels for OBC Boys and Girls,['Education & Learning']
Craftsman Training Scheme - Maharashtra,['Education & Learning']
Cycle Distribution Scheme,['Education & Learning']
D. D. Kosambi Research Fellowship Scheme,['Education & Learning']
DEVELOPMENT OF HANDICRAFTS,['Education & Learning']
